"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,7
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1109103,"Cálculo Diferencial e Integral I",4,5.9
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411167,"Programação I",4,5.4
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411174,"Introdução à Computação",4,5.3
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411180,"Laboratório de Programação I",4,6.2
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1307151,"Leitura e Produção de Textos",4,7.4
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411181,"Laboratório de Programação II",4,3.6
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1108089,"Fundamentos de Física Clássica",4,7
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1109053,"Cálculo Diferencial e Integral II",4,3
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1109113,"Matemática Discreta",4,4
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411168,"Programação II",4,4.3
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411170,"Teoria dos Grafos",2,5
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411181,"Laboratório de Programação II",4,7.5
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1109053,"Cálculo Diferencial e Integral II",4,5.8
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1411168,"Programação II",4,7.3
"cb603eda8afbbd5a04bafc15c38a1e2d",2015,2,1109113,"Matemática Discreta",4,7
"514c99f4e05b992beef4a65002cee151",2015,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,6
"514c99f4e05b992beef4a65002cee151",2015,2,1109103,"Cálculo Diferencial e Integral I",4,1.6
"514c99f4e05b992beef4a65002cee151",2015,2,1411167,"Programação I",4,7
"514c99f4e05b992beef4a65002cee151",2015,2,1411174,"Introdução à Computação",4,8.7
"514c99f4e05b992beef4a65002cee151",2015,2,1411180,"Laboratório de Programação I",4,8.4
"514c99f4e05b992beef4a65002cee151",2015,2,1307151,"Leitura e Produção de Textos",4,7.5
"514c99f4e05b992beef4a65002cee151",2015,2,1109103,"Cálculo Diferencial e Integral I",4,7.3
"514c99f4e05b992beef4a65002cee151",2015,2,1109113,"Matemática Discreta",4,5.7
"514c99f4e05b992beef4a65002cee151",2015,2,1411168,"Programação II",4,7.6
"514c99f4e05b992beef4a65002cee151",2015,2,1411170,"Teoria dos Grafos",2,5.3
"514c99f4e05b992beef4a65002cee151",2015,2,1411181,"Laboratório de Programação II",4,7.3
"514c99f4e05b992beef4a65002cee151",2015,2,1108089,"Fundamentos de Física Clássica",4,6.6
"514c99f4e05b992beef4a65002cee151",2015,2,1109053,"Cálculo Diferencial e Integral II",4,6.1
"1d07660f3fdc968e75c9e77a530f1c25",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,2.7
"1d07660f3fdc968e75c9e77a530f1c25",2015,1,1411167,"Programação I",4,1.5
"1d07660f3fdc968e75c9e77a530f1c25",2015,1,1411174,"Introdução à Computação",4,8.6
"1d07660f3fdc968e75c9e77a530f1c25",2015,1,1307151,"Leitura e Produção de Textos",4,5
"1d07660f3fdc968e75c9e77a530f1c25",2015,1,1109103,"Cálculo Diferencial e Integral I",4,1.8
"1d07660f3fdc968e75c9e77a530f1c25",2015,1,1411180,"Laboratório de Programação I",4,0.5
