"calc1","vetorial","lpt","p1","ic","lp1","calc2","md","p2","classica","lp2","grafos","cra"
7,7,5.2,5.4,7.9,6.4,5,5.1,6.4,7,7.1,7.1,6.79080459770115
7,7,7.2,7.9,8.7,7.7,6.5,7.9,8.7,7.2,9,6.5,7.23033707865169
7.3,5,8.3,8.1,7,7.4,5,5.9,7.3,5,7.1,5.6,6.87362637362637
7,6.8,6.4,7,8.6,8.2,6.3,8,7.9,9,8.9,5.4,7.4448275862069
7.8,7.4,7,7,8.7,7.1,7.3,8.2,8.1,7.4,8,7.5,7.95411764705882
8.6,8,8.8,5.5,7.2,7.2,6.3,6.4,7.1,7.3,5.1,7.1,7.2
5.3,5,7.8,5.3,5.4,5.5,5.2,5,5,5.2,7,5.6,5.27637795275591
5.7,5.4,8.8,6,7.2,7.7,5.5,5,7,7,5.6,7.2,6.68941176470588
5.3,5,7,7.3,5.9,7,5.1,7.9,5.9,7.5,6.7,7.6,6.71294117647059
7.7,6.2,8,8.1,7.1,8.5,5.3,5,8.4,5.5,7.9,7.8,6.76043956043956
7.8,8.3,8,9.7,10,9.8,6.2,7.4,8.9,7.2,8.9,8.5,7.72117647058823
6.5,6.3,7.5,7.5,7.8,7.7,7.3,6.2,8.9,7,8.9,7.5,7.44597701149425
5,5.9,7.3,7.7,7.7,8,6.2,7.1,8,7,9.2,5,7.31609195402299
6.2,5.3,5.4,5.4,5.7,5.1,6,7.8,6.4,7.7,7.8,7.4,6.1032967032967
6.1,5.7,7,7.4,7.6,8.9,5.1,7,8.5,7.1,9,7,6.84606741573034
NA,NA,7,5.8,6.3,6.1,9.2,7.3,6.5,7,5.4,7.6,6.58795180722892
7.2,6.8,7.1,7,5.2,7,5.4,5.4,7,7.2,7.3,7,6.97126436781609
7,7,9.2,7.6,8.8,7.7,7.3,8.5,9,7.8,9.6,8.7,8.48588235294118
7,6.6,7,8.3,7.6,7.8,6.2,5.2,9.1,5,9.4,7.9,7.59655172413793
5.2,5,7.1,7,7.2,7.8,7.3,5.1,7.4,5.2,8.6,7.3,7.38390804597701
9.3,7.1,7.5,7.8,7,7.7,6.3,7.3,7.4,5.1,7,7.4,7.23846153846154
7.2,7.7,7.6,7.5,8.3,7.6,5.3,8.1,8.8,6.1,7.1,9.7,7.94
5.6,5.6,6.7,7,8.4,7.7,5.9,6.8,7.4,7.4,7,5.9,6.7314606741573
6.1,7.4,7.2,5.1,8.3,5,5,7.7,6.6,8.2,7,5.6,6.55294117647059
7,7,7.3,8.5,8.4,8.9,6.4,6.4,8.2,7.3,8.2,7.3,7.4978021978022
7.4,5,7.1,7.5,8.7,7.2,8.1,7.6,8.8,8.4,9,8.6,8.04814814814815
7.5,7.7,7.2,7,8.5,7.9,7.6,8.2,9.4,8.3,9.5,7.6,8.16117647058824
5.1,6.4,7,5.7,7,6.4,7,NA,5.9,7.3,5.7,7.5,5.87578947368421
5.3,5,7.8,7.5,7,7.4,5.5,7.4,7.4,7,8,8.3,7.06470588235294
7,7.4,7,7.4,8.4,8.7,7.1,7,8.5,8.2,8.8,7,7.46551724137931
8.2,7.5,8.3,6.2,8.3,7,NA,5.6,5.1,5.5,7.1,5,5.86559139784946
7,8,9.6,9,9.7,9.1,NA,7.4,9.6,5.4,9,7,7.60705882352941
5,8.2,5,6.5,6.3,7.7,5.5,5.4,7.7,5.2,9,5.5,5.6018691588785
9.3,9,7.3,7.6,9.1,9,7.2,7.7,9.3,9,8.9,7.5,7.5551724137931
7,5.1,8.5,5.6,8.2,5,5.1,5.7,8.4,7.1,8.1,8.5,6.70888888888889
9.2,10,8,8.2,7.5,7.6,6.8,6.6,8.4,8.9,8.6,5.9,7.73103448275862
7.5,6.1,7.8,7.9,7.2,8,5,5.5,7.9,5.7,8,8.3,7.25747126436782
